,Represented Test Veh Make,Represented Test Veh Model,CO2 (g/mi),Veh Mfr Code,Vehicle Type,Test Vehicle ID
13,ACURA,ADX AWD,233.475,HNX,Car,ESVJ2C
14,ACURA,ADX FWD,221.07999999999998,HNX,Car,ESVJ3C
15,ACURA,ILX,227.98499999999999,HNX,Car,EK4H1D
16,ACURA,INTEGRA,239.3785714285714,HNX,Car,EPLM1C
17,ACURA,INTEGRA A-SPEC,206.23925,HNX,Car,EPLM1C
18,ACURA,MDX AWD,313.575,HNX,Truck,EM1A1A
19,ACURA,MDX AWD A-spec,310.66499999999996,HNX,Car,EKBN1A
20,ACURA,MDX AWD Type-S,372.8766666666667,HNX,Truck,EN1B1A
21,ACURA,MDX FWD,298.33,HNX,Truck,EM1A2A
22,ACURA,NSX,299.23499999999996,HNX,Car,EH8G1D
23,ACURA,RDX 2WD,286.67,HNX,Truck,EGME2A
24,ACURA,RDX 4WD,299.45000000000005,HNX,Truck,EGME1A
25,ACURA,RDX AWD,276.58,HNX,Truck,EKYF2A
26,ACURA,RDX AWD A-SPEC,311.4746666666667,HNX,Truck,EKYF2A
27,ACURA,RDX FWD,267.275,HNX,Truck,EKYF3A
28,ACURA,RDX FWD A-SPEC,301.67,HNX,Truck,EKYF3A
29,ACURA,RLX,284.0239431,HNX,Car,EJ9P1A
30,ACURA,RLX HYBRID,220.07040741999998,HNX,Car,EJ9S1D
31,ACURA,TLX,244.467256334375,HNX,Car,EJDF1D
32,ACURA,TLX AWD,273.17,HNX,Car,EMS81A
33,ACURA,TLX AWD ASPEC,274.02,HNX,Car,EMS81A
34,ACURA,TLX FWD,258.96,HNX,Car,EMS82A
35,ACURA,TLX FWD ASPEC,263.35,HNX,Car,EMS82A
36,ACURA,TLX Type-S,296.4,HNX,Car,EMS91A
37,ACURA,TLX Type-S Perf Tire,309.26500000000004,HNX,Car,EMS91A
41,AUDI,A3,271.7352941176471,VGA,Car,UA-110/20
42,AUDI,A3 Cabriolet quattro,297.42857142857144,VGA,Both,UA-113
43,AUDI,A3 e-tron,214.09835302857144,VGA,Car,AU370170140
44,AUDI,A3 quattro,315.14257204,VGA,Both,UA-113
45,AUDI,A4,287.0316710028302,VGA,Car,MA7E-B-132
46,AUDI,A4 Allroad,301.0740740740741,VGA,Both,MA7G-B-530
47,AUDI,A4 Sedan,273.77272727272725,VGA,Both,MA7G-B-127
48,AUDI,A4 Ultra,262.6666666666667,VGA,Car,UB-467
49,AUDI,A4 ultra,248.8864505375,VGA,Both,HAAC-BAU
50,AUDI,A6,277.75,VGA,Car,GAUE-CAQ
51,AUDI,A6 Allroad,365.4,VGA,Car,LN7N-A6A
52,AUDI,A6 Quattro (C8),240.95500945,VGA,Car,UC-412
53,AUDI,A6 quattro,252.5,VGA,Both,MA7G-C-129
54,AUDI,A7,313.0,VGA,Car,KN7N-C8
55,AUDI,A7 55 TFSIe,281.6,VGA,Both,LA3P-C-132
56,AUDI,A7 55 TFSIe quattro,299.8,VGA,Both,NA3P-A7
57,AUDI,A8,410.36296452444446,VGA,Car,KNAT-A8
58,AUDI,A8 e-tron,285.0,VGA,Both,LNAP-A8
59,AUDI,A8L,388.4166666666667,VGA,Car,LN7R-A8
60,AUDI,A8L PHEV,348.1666666666667,VGA,Car,MNAP-A8
61,AUDI,Audi A3,314.7386361545454,VGA,Car,HAPA-AAQ
62,AUDI,Audi A6,253.8,VGA,Car,GAAC-CAF
